experiment,seed,n,E_exact,E_learned,E_rel,L2,integral,collapse,path
A1,4,20,19.5,16.34204864501953,0.16194622333232345,1.3597653333758997,0.9950509071350098,False,outputs/Harmonic/runs/A1_seed4/mode_20/metrics.json
A2,0,1,0.5,0.7167667150497437,0.4335334300986203,0.0734590485736238,0.9998158812522888,False,outputs/Harmonic/runs/A2_seed0/mode_1/metrics.json
A2,1,1,0.5,0.7183972001075745,0.43679440021427535,0.06826485600477546,0.9997905492782593,False,outputs/Harmonic/runs/A2_seed1/mode_1/metrics.json
A2,2,1,0.5,0.7167965173721313,0.43359303474339556,0.0733883287735462,0.9998137354850769,False,outputs/Harmonic/runs/A2_seed2/mode_1/metrics.json
A2,3,1,0.5,0.7177823185920715,0.43556463718327193,0.07025027477316534,0.999800443649292,False,outputs/Harmonic/runs/A2_seed3/mode_1/metrics.json
A2,4,1,0.5,0.71677565574646,0.43355131149205284,0.07345982861145088,0.9998141527175903,False,outputs/Harmonic/runs/A2_seed4/mode_1/metrics.json
A2,0,2,1.5,2.146367073059082,0.43091138203910073,0.13552458126695982,0.9996907711029053,False,outputs/Harmonic/runs/A2_seed0/mode_2/metrics.json
A2,1,2,1.5,2.1445353031158447,0.4296902020769433,0.13968457790437283,0.9997135996818542,False,outputs/Harmonic/runs/A2_seed1/mode_2/metrics.json
A2,2,2,1.5,2.1442363262176514,0.42949088414481457,0.1402493431235573,0.9997168183326721,False,outputs/Harmonic/runs/A2_seed2/mode_2/metrics.json
A2,3,2,1.5,2.1440036296844482,0.42933575312267924,0.14102598613466538,0.9997189044952393,False,outputs/Harmonic/runs/A2_seed3/mode_2/metrics.json
A2,4,2,1.5,2.1436212062835693,0.42908080418876016,0.14163432393834147,0.9997215270996094,False,outputs/Harmonic/runs/A2_seed4/mode_2/metrics.json
A2,0,3,2.5,2.2545642852783203,0.0981742858886326,1.4141277363195752,0.9997956156730652,False,outputs/Harmonic/runs/A2_seed0/mode_3/metrics.json
A2,1,3,2.5,2.254427909851074,0.09822883605953102,1.4140971166930216,0.99979567527771,False,outputs/Harmonic/runs/A2_seed1/mode_3/metrics.json
A2,2,3,2.5,2.254211902618408,0.09831523895259739,1.4140992430601855,0.9997926950454712,False,outputs/Harmonic/runs/A2_seed2/mode_3/metrics.json
A2,3,3,2.5,2.25459885597229,0.09816045761104472,1.414107077024794,0.9997932314872742,False,outputs/Harmonic/runs/A2_seed3/mode_3/metrics.json
A2,4,3,2.5,2.254159927368164,0.09833602905269503,1.4141141174740481,0.9997986555099487,False,outputs/Harmonic/runs/A2_seed4/mode_3/metrics.json
A2,0,4,3.5,2.1682956218719482,0.3804869651793346,1.346084442919881,0.999893307685852,False,outputs/Harmonic/runs/A2_seed0/mode_4/metrics.json
A2,1,4,3.5,2.1616177558898926,0.38239492688849286,1.3375676692888427,0.9999346733093262,False,outputs/Harmonic/runs/A2_seed1/mode_4/metrics.json
A2,2,4,3.5,2.170422315597534,0.37987933840059596,1.3483305638239156,0.9998975992202759,False,outputs/Harmonic/runs/A2_seed2/mode_4/metrics.json
A2,3,4,3.5,2.1573007106781006,0.3836283683775759,1.3313279678843057,1.0026986598968506,False,outputs/Harmonic/runs/A2_seed3/mode_4/metrics.json
A2,4,4,3.5,2.1701979637145996,0.37994343893857724,1.3482465369756238,0.9999268651008606,False,outputs/Harmonic/runs/A2_seed4/mode_4/metrics.json
A2,0,5,4.5,2.424567699432373,0.4612071779038146,1.4142212774226708,1.0000333786010742,False,outputs/Harmonic/runs/A2_seed0/mode_5/metrics.json
A2,1,5,4.5,2.4186947345733643,0.4625122812058163,1.4141346202576446,0.9997783303260803,False,outputs/Harmonic/runs/A2_seed1/mode_5/metrics.json
A2,2,5,4.5,2.25788950920105,0.4982467757329893,1.414169877259221,0.9998778104782104,False,outputs/Harmonic/runs/A2_seed2/mode_5/metrics.json
A2,3,5,4.5,2.48990535736084,0.44668769836415856,1.4141381387306176,0.9997905492782593,False,outputs/Harmonic/runs/A2_seed3/mode_5/metrics.json
A2,4,5,4.5,2.2579545974731445,0.4982323116725238,1.4141415198802618,0.9997965693473816,False,outputs/Harmonic/runs/A2_seed4/mode_5/metrics.json
A2,0,6,5.5,2.501675844192505,0.5451498465103546,1.4012080770099735,0.9998388886451721,False,outputs/Harmonic/runs/A2_seed0/mode_6/metrics.json
A2,1,6,5.5,3.0444862842559814,0.446457039226104,1.4032580298378947,0.9996182918548584,False,outputs/Harmonic/runs/A2_seed1/mode_6/metrics.json
